areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2022-03-26,219
K02000001,United Kingdom,overview,2022-03-25,227
K02000001,United Kingdom,overview,2022-03-24,215
K02000001,United Kingdom,overview,2022-03-23,207
K02000001,United Kingdom,overview,2022-03-22,227
K02000001,United Kingdom,overview,2022-03-21,185
K02000001,United Kingdom,overview,2022-03-20,204
K02000001,United Kingdom,overview,2022-03-19,197
K02000001,United Kingdom,overview,2022-03-18,208
K02000001,United Kingdom,overview,2022-03-17,191
K02000001,United Kingdom,overview,2022-03-16,184
K02000001,United Kingdom,overview,2022-03-15,159
K02000001,United Kingdom,overview,2022-03-14,186
K02000001,United Kingdom,overview,2022-03-13,155
K02000001,United Kingdom,overview,2022-03-12,145
K02000001,United Kingdom,overview,2022-03-11,145
K02000001,United Kingdom,overview,2022-03-10,153
K02000001,United Kingdom,overview,2022-03-09,143
K02000001,United Kingdom,overview,2022-03-08,150
K02000001,United Kingdom,overview,2022-03-07,149
K02000001,United Kingdom,overview,2022-03-06,131
K02000001,United Kingdom,overview,2022-03-05,127
K02000001,United Kingdom,overview,2022-03-04,133
K02000001,United Kingdom,overview,2022-03-03,157
K02000001,United Kingdom,overview,2022-03-02,162
K02000001,United Kingdom,overview,2022-03-01,133
K02000001,United Kingdom,overview,2022-02-28,145
K02000001,United Kingdom,overview,2022-02-27,136
K02000001,United Kingdom,overview,2022-02-26,135
K02000001,United Kingdom,overview,2022-02-25,146
K02000001,United Kingdom,overview,2022-02-24,169
K02000001,United Kingdom,overview,2022-02-23,146
K02000001,United Kingdom,overview,2022-02-22,141
K02000001,United Kingdom,overview,2022-02-21,145
K02000001,United Kingdom,overview,2022-02-20,165
K02000001,United Kingdom,overview,2022-02-19,156
K02000001,United Kingdom,overview,2022-02-18,157
K02000001,United Kingdom,overview,2022-02-17,160
K02000001,United Kingdom,overview,2022-02-16,170
K02000001,United Kingdom,overview,2022-02-15,174
K02000001,United Kingdom,overview,2022-02-14,191
K02000001,United Kingdom,overview,2022-02-13,174
K02000001,United Kingdom,overview,2022-02-12,166
K02000001,United Kingdom,overview,2022-02-11,164
K02000001,United Kingdom,overview,2022-02-10,182
K02000001,United Kingdom,overview,2022-02-09,182
K02000001,United Kingdom,overview,2022-02-08,189
K02000001,United Kingdom,overview,2022-02-07,180
K02000001,United Kingdom,overview,2022-02-06,209
K02000001,United Kingdom,overview,2022-02-05,219
K02000001,United Kingdom,overview,2022-02-04,195
K02000001,United Kingdom,overview,2022-02-03,230
K02000001,United Kingdom,overview,2022-02-02,249
K02000001,United Kingdom,overview,2022-02-01,264
K02000001,United Kingdom,overview,2022-01-31,259
K02000001,United Kingdom,overview,2022-01-30,245
K02000001,United Kingdom,overview,2022-01-29,261
K02000001,United Kingdom,overview,2022-01-28,258
K02000001,United Kingdom,overview,2022-01-27,302
K02000001,United Kingdom,overview,2022-01-26,264
K02000001,United Kingdom,overview,2022-01-25,245
K02000001,United Kingdom,overview,2022-01-24,280
K02000001,United Kingdom,overview,2022-01-23,256
K02000001,United Kingdom,overview,2022-01-22,282
K02000001,United Kingdom,overview,2022-01-21,306
K02000001,United Kingdom,overview,2022-01-20,256
K02000001,United Kingdom,overview,2022-01-19,281
K02000001,United Kingdom,overview,2022-01-18,288
K02000001,United Kingdom,overview,2022-01-17,296
K02000001,United Kingdom,overview,2022-01-16,294
K02000001,United Kingdom,overview,2022-01-15,296
K02000001,United Kingdom,overview,2022-01-14,280
K02000001,United Kingdom,overview,2022-01-13,284
K02000001,United Kingdom,overview,2022-01-12,260
K02000001,United Kingdom,overview,2022-01-11,269
K02000001,United Kingdom,overview,2022-01-10,278
K02000001,United Kingdom,overview,2022-01-09,272
K02000001,United Kingdom,overview,2022-01-08,243
K02000001,United Kingdom,overview,2022-01-07,251
K02000001,United Kingdom,overview,2022-01-06,257
K02000001,United Kingdom,overview,2022-01-05,214
K02000001,United Kingdom,overview,2022-01-04,220
K02000001,United Kingdom,overview,2022-01-03,179
K02000001,United Kingdom,overview,2022-01-02,177
K02000001,United Kingdom,overview,2022-01-01,181
K02000001,United Kingdom,overview,2021-12-31,169
K02000001,United Kingdom,overview,2021-12-30,191
K02000001,United Kingdom,overview,2021-12-29,126
K02000001,United Kingdom,overview,2021-12-28,168
K02000001,United Kingdom,overview,2021-12-27,143
K02000001,United Kingdom,overview,2021-12-26,116
K02000001,United Kingdom,overview,2021-12-25,108
K02000001,United Kingdom,overview,2021-12-24,126
K02000001,United Kingdom,overview,2021-12-23,132
K02000001,United Kingdom,overview,2021-12-22,126
K02000001,United Kingdom,overview,2021-12-21,99
K02000001,United Kingdom,overview,2021-12-20,125
K02000001,United Kingdom,overview,2021-12-19,103
K02000001,United Kingdom,overview,2021-12-18,107
K02000001,United Kingdom,overview,2021-12-17,129
K02000001,United Kingdom,overview,2021-12-16,107
K02000001,United Kingdom,overview,2021-12-15,113
K02000001,United Kingdom,overview,2021-12-14,128
K02000001,United Kingdom,overview,2021-12-13,104
K02000001,United Kingdom,overview,2021-12-12,122
K02000001,United Kingdom,overview,2021-12-11,96
K02000001,United Kingdom,overview,2021-12-10,109
K02000001,United Kingdom,overview,2021-12-09,125
K02000001,United Kingdom,overview,2021-12-08,113
K02000001,United Kingdom,overview,2021-12-07,121
K02000001,United Kingdom,overview,2021-12-06,137
K02000001,United Kingdom,overview,2021-12-05,111
K02000001,United Kingdom,overview,2021-12-04,147
K02000001,United Kingdom,overview,2021-12-03,133
K02000001,United Kingdom,overview,2021-12-02,107
K02000001,United Kingdom,overview,2021-12-01,124
K02000001,United Kingdom,overview,2021-11-30,96
K02000001,United Kingdom,overview,2021-11-29,123
K02000001,United Kingdom,overview,2021-11-28,120
K02000001,United Kingdom,overview,2021-11-27,107
K02000001,United Kingdom,overview,2021-11-26,132
K02000001,United Kingdom,overview,2021-11-25,137
K02000001,United Kingdom,overview,2021-11-24,116
K02000001,United Kingdom,overview,2021-11-23,143
K02000001,United Kingdom,overview,2021-11-22,120
K02000001,United Kingdom,overview,2021-11-21,106
K02000001,United Kingdom,overview,2021-11-20,130
K02000001,United Kingdom,overview,2021-11-19,124
K02000001,United Kingdom,overview,2021-11-18,136
K02000001,United Kingdom,overview,2021-11-17,126
K02000001,United Kingdom,overview,2021-11-16,153
K02000001,United Kingdom,overview,2021-11-15,174
K02000001,United Kingdom,overview,2021-11-14,127
K02000001,United Kingdom,overview,2021-11-13,136
K02000001,United Kingdom,overview,2021-11-12,149
K02000001,United Kingdom,overview,2021-11-11,143
K02000001,United Kingdom,overview,2021-11-10,148
K02000001,United Kingdom,overview,2021-11-09,150
K02000001,United Kingdom,overview,2021-11-08,154
K02000001,United Kingdom,overview,2021-11-07,168
K02000001,United Kingdom,overview,2021-11-06,169
K02000001,United Kingdom,overview,2021-11-05,160
K02000001,United Kingdom,overview,2021-11-04,156
K02000001,United Kingdom,overview,2021-11-03,165
K02000001,United Kingdom,overview,2021-11-02,158
K02000001,United Kingdom,overview,2021-11-01,177
K02000001,United Kingdom,overview,2021-10-31,188
K02000001,United Kingdom,overview,2021-10-30,169
K02000001,United Kingdom,overview,2021-10-29,171
K02000001,United Kingdom,overview,2021-10-28,192
K02000001,United Kingdom,overview,2021-10-27,162
K02000001,United Kingdom,overview,2021-10-26,165
K02000001,United Kingdom,overview,2021-10-25,134
K02000001,United Kingdom,overview,2021-10-24,152
K02000001,United Kingdom,overview,2021-10-23,165
